chapterNumber,fen
985,r1b1k1r1/ppppnpq1/8/n3P2p/2B4N/5QB1/P4PP1/3RR1K1 w q - 0 1
986,r2q2k1/pp1b1rpp/1b1Q1p2/4N1B1/4R3/8/PP3PPP/4R1K1 b - - 0 1
987,r1r5/pp1qnkpp/4Np2/3p4/8/8/PP2QPPP/2R1R1K1 w - - 0 1
988,4r3/1kp5/1pb5/p2q1PB1/P1pP3p/2P4P/3Q3K/5R2 b - - 0 1
989,r1bq1k2/ppp2rbp/2np1pp1/3N4/2Q1P3/5NB1/PPP2PPP/3RR1K1 w - - 0 1
990,r4rk1/1b2bppp/ppq1p3/2ppB2n/5P2/1P1BP3/P1PPQ1PP/R4RK1 w - - 0 1
991,r5k1/6np/p2q2pB/1ppr4/3p1PP1/3P3P/PP4Q1/R3R1K1 w - - 0 1
992,1rb3k1/5rpp/p3p3/3pP2P/5PQ1/qPpB1N2/PbP4R/1K4R1 w - - 0 1
993,5rk1/1P2qpp1/2p4p/2n1p3/2B1P3/2PP1Q1P/3K2P1/7R w - - 0 1
994,r3r1k1/ppp2ppp/6q1/3P1b2/2P1B3/5P2/P1Q2P1P/R3BR1K b - - 0 1
995,4r1k1/2q2ppp/p1pb4/3p4/1P6/1NP2PPb/P2Q1R1P/4N1K1 b - - 0 1
996,r6r/1b4p1/p1p4p/1p1nq3/1b6/kPP2Q2/2KB1PPP/3R3R b - - 0 1
997,r1br2k1/ppp2pp1/5q1p/4p3/2N1Pn2/2PB4/P1PQ1PPP/R4RK1 b - - 0 1
998,r3k2r/4bp2/pp1p2np/2pPp1pn/2P1P3/P1NBBPPq/1P3Q1P/4NR1K b kq - 0 1
999,r4rk1/1q1nbppp/p1b1pn2/1p6/1P5Q/2N1BNP1/P3PPBP/2RR2K1 w - - 0 1
1000,1br2rk1/1b2qpp1/p5n1/1p1pP1QN/3p1P1N/1B5P/PP4PK/3RR3 w - - 0 1
1001,r4r1k/pp4pp/2pp1q2/8/3P1nb1/4RN2/PPB2PPP/3QR1K1 b - - 0 1
1002,2q3k1/5pb1/p5pp/1p6/3rP3/P2nP3/NP2Q1PP/3R2K1 b - - 0 1
1003,5k2/p5p1/6p1/5p2/P1N5/2PpKP2/r3b1PP/4R3 b - - 0 1
1004,5q1k/pp2rpp1/2pN1n1p/3nN3/3P3R/P2Q3P/1P3PP1/6K1 w - - 0 1
1005,r1b2kB1/pp2q3/2pp1bpp/8/P3P3/1QN5/1PP3PP/5RK1 w - - 0 1
1006,3r1r2/pq2b1pk/4p3/1Pp2p2/4PN2/P4KP1/2Q2P1P/R2R4 b - - 0 1
1007,2rq1rk1/pb2nppp/1p2pn2/4N3/3P4/1BN2P2/PP2Q1PP/2RR2K1 w - - 0 1
1008,r1bqrnk1/p3bppn/2p4p/1p1p4/3P1BP1/2NBP2P/PPQ1NP2/2KR3R w - - 0 1
1009,rnb4r/p3kppp/1p2pn2/b1p5/2P2N2/P1N1P3/1P1B1PPP/R3KB1R w KQ - 0 1
1010,r1bq2k1/pp3pbp/1np3p1/8/PPBNr3/4P3/3B1PPP/2RQ1RK1 w - - 0 1
1011,r3r2k/6qp/8/pP1nN3/4p1P1/7P/2R5/Q4RK1 w - - 0 1
1012,5r1k/2p3p1/1b1p4/4p3/1PQ1B2P/3P1P1K/1P3q1P/R7 w - - 0 1
1013,2r2rk1/1p1qbppp/p3pn2/8/1P1Nn3/P3P3/BB3PPP/R2Q1RK1 w - - 0 1